Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,
ABABOT01,ABIXIM O TAB 10S 10 TAB,PCS,1011,0,0,0,0,53.2000,"53,785.20",242.32,56.00,56.00,ABBOTT,AKUMS,IP102816,
ELABS201,ABZ SYRUP 200ml,PCS,0,0,0,0,0,20.2500,0.00,172.50,22.50,23.50,ELDER,,IP113155,
ZYACPT01,ACECLODUS P TAB (ALU/ALU) 10's,PCS,0,0,0,0,0,6.2500,0.00,65.53,6.25,7.20,ZYDUS,,IP100063,
ZYACST01,ACECLODUS- SP TAB 10'S,PCS,3820,0,0,0,0,11.2500,"42,975.00",112.27,11.25,12.95,ZYDUS,,IP100075,
KEACPT01,ACECLOPHARM P TABLET 10's,PCS,2904,0,0,0,0,6.7100,"19,485.84",86.25,6.71,6.71,KEMSYN,,IP100063,
KEACPT02,ACECLOPHARM PLUS TABLET 10'S,PCS,1984,0,0,0,0,5.8000,"11,507.20",86.25,5.80,5.80,KEMSYN,,IP100063,
KEACT101,ACECLOPHARM-MR TABLET 10'S,PCS,3024,0,0,0,0,9.9500,"30,088.80",102.19,9.95,9.95,KEMSYN,,IP100148,
KEACFT01,ACECLOPHARM-SP FORTE TABLET 10'S,PCS,3200,0,0,0,0,11.3900,"36,448.00",130.10,11.39,11.39,KEMSYN,,IP100075,
KEACC101,ACECLOPHARM-TH4 10'S,PCS,880,0,0,0,0,32.4600,"28,564.80",236.91,32.46,32.46,KEMSYN,,,
ALACT101,ACEDAY-P TABLETS (10'S) 10'S,PCS,0,0,0,0,0,7.5900,0.00,68.00,8.25,8.25,ALKEM(HC),,IP100063,
ALACT102,ACEDAY-SP TABLETS (10'S) 10'S,PCS,960,0,0,0,0,14.6280,"14,042.88",116.25,15.90,15.90,ALKEM(HC),,IP100074,
CAACPT01,ACENEXT P TAB (ALU-ALU) 10's,PCS,4100,0,0,0,0,6.5900,"27,019.00",59.72,6.59,8.00,CADILA,,IP100063,
CAACST01,ACENEXT SP TAB (BLISTER) 10's,PCS,15720,0,0,0,0,9.8500,"154,842.00",92.39,9.85,12.00,CADILA,,IP100092,
CAACT401,ACENEXT TH 4 TAB 10's,PCS,760,0,0,0,0,39.3700,"29,921.20",186.56,39.37,48.00,CADILA,,IP100114,
CAACTM01,ACENEXT TH MAX 4 TAB 10's,PCS,0,0,0,0,0,25.0000,0.00,154.98,25.00,30.00,CADILA,,IP112442,
CAACTM02,ACENEXT TH MAX 8 TAB 10's,PCS,0,0,0,0,0,64.1670,0.00,236.46,0.00,78.00,CADILA,,IP112447,
CASTPS22,ACEPHYLINE 100 CAPS 10'S,PCS,200,0,0,19,1,14.9625,"2,992.50",220.31,17.50,17.50,ELDER,,,
CAACRC01,ACERUT RB CAP 10'S,PCS,0,0,0,0,0,11.9700,0.00,128.91,11.97,14.50,CAMRUT,,,
MEACRC01,ACETATE RB CAP 10'S,PCS,0,0,0,0,0,11.9700,0.00,117.19,11.97,14.50,MEDISYNC,,,
JAAC2M01,ACETAZOLAMIDE 250 MG (ZOLAMAX) 10X10 TAB,PCS,0,0,0,0,0,110.0000,0.00,420.00,110.00,140.00,JACKSON,,IP100167,
SVACL401,ACETONE LR 400 ML,PCS,-24,0,0,0,0,51.4100,"-1,233.84",171.00,53.00,70.00,SVAS,SVAS,,
MEACRC02,ACETOSE RB CAP 10'S,PCS,0,0,0,0,0,11.9700,0.00,126.56,11.97,14.50,MEDISYNC,,,
AKACCF01,ACETWIT COLD & FLU TAB. 10's,PCS,1920,0,0,0,0,8.5000,"16,320.00",90.75,8.50,10.30,AKUMENTIS,,IP100064,
AKACMT01,ACETWIT MR TAB(AL) 10's,PCS,720,0,0,0,0,9.4500,"6,804.00",83.22,9.45,11.40,AKUMENTIS,,IP100067,
AKACPT01,ACETWIT P TAB (AL) 10's,PCS,2420,0,0,0,0,6.0000,"14,520.00",75.49,6.00,7.30,AKUMENTIS,,IP100063,
AKACPT02,ACETWIT P TAB (BL) 10's,PCS,0,0,0,0,0,4.7500,0.00,75.49,4.75,5.70,AKUMENTIS,,IP100063,
AKACSF01,ACETWIT SP FORTE TABLET (AL) 10's,PCS,2400,0,0,0,0,10.0000,"24,000.00",136.13,10.00,12.10,AKUMENTIS,,IP100075,
AKACST01,ACETWIT SP TAB (AL) 10's,PCS,4600,0,0,0,0,9.4500,"43,470.00",113.23,9.45,11.40,AKUMENTIS,,IP100075,
AKACST02,ACETWIT SR TABLET (AL) 20x10 10's,PCS,0,0,0,0,0,8.7500,0.00,80.54,8.75,11.10,AKUMENTIS,,IP100046,
AKACT801,ACETWIT TH 8 TAB (AL) 10's,PCS,130,0,0,0,0,63.5000,"8,255.00",227.81,63.50,62.00,AKUMENTIS,,IP100115,
AKACTT01,ACETWIT TH TAB (AL) 10's,PCS,0,0,0,0,0,45.1000,0.00,141.80,45.10,47.00,AKUMENTIS,,IP100114,
AKACS601,ACETWIT-P SYP 60ML ORANGE MONO 60 ml,PCS,0,0,0,0,0,5.0000,0.00,61.88,5.00,10.95,AKUMENTIS,,IP100155,
AKACT101,ACETWIT-S TAB(BL) 10's,PCS,1260,0,0,0,0,6.7500,"8,505.00",123.75,6.75,8.10,AKUMENTIS,,IP100075,
THACC101,ACETYLWIN 10's,PCS,2,0,0,0,0,60.0000,120.00,239.06,60.00,72.00,THEOGEN,,IP100186,
THACC102,ACETYLWIN-A 10'S,PCS,2340,0,0,0,0,34.0000,"79,560.00",304.69,34.00,40.00,THEOGEN,,IP100019,
THACG201,ACIDAINE GEL 200 ML,PCS,360,0,0,0,0,23.5000,"8,460.00",165.00,23.50,28.00,THEOGEN,,IP109936,
ABACNS01,ACIGON NEW SUSP 170ML 170ML,PCS,0,0,0,0,0,19.7500,0.00,141.80,19.75,20.00,ABBOTT,HEMALA,IP100413,
KEACML01,ACIJEET MPS LIQUID 170ML -MINT 170 ML,PCS,180,0,0,0,0,17.3400,"3,121.20",121.88,17.34,17.34,KEMSYN,,,
KEAC2S01,ACIKATPHYLLIN 200 SR 10's,PCS,10,0,0,0,0,22.3700,223.70,258.75,22.37,22.37,KEMSYN,,IP100023,
INACCC01,ACNO CL CREAM 15 GM 15gm,PCS,740,0,0,0,0,15.3500,"11,359.00",60.00,15.35,17.00,INTAS,,IP104026,
CASTPS40,ACT KIT -1 TAB 1 KIT,PCS,0,0,0,0,0,52.0000,0.00,0.00,52.00,65.00,JACKSON,,ACTJA,
INAC6T01,ACTICIN 650 TAB 10'S 10'S,PCS,-161,0,0,0,0,4.9500,-796.95,23.44,4.95,3.30,INTAS,,IP110277,
INACS601,ACTICIN-250 SUSP. 60 ML 60 ML,PCS,3,0,0,0,0,5.9500,17.85,37.80,5.95,5.95,INTAS,,IP110153,
INAC1M01,ACTIGESIC 1 ML   10X5X1ML 1ML,PCS,24.2,0,0,0,0,119.5000,"2,891.90",23.44,119.50,3.30,INTAS,,IP104957,
INAC1M02,ACTIGESIC 1 ML   20X5X1ML 1ml,PCS,0,0,0,0,0,2.8300,0.00,23.44,2.83,3.30,INTAS,,IP104957,
ACAC1101,ACUGYL 100ML 100 ML,PCS,0,0,0,0,0,13.7800,0.00,23.10,13.78,16.27,ACULIFE,,,
ROACT101,ACYCLOMAX-400(B/L) TAB 10'S,PCS,0,0,0,0,0,24.6000,0.00,"1,288.31",24.60,27.50,ROUSSEL,,,
PRAC2M01,ACYCLOTECH 250 MG Vial,PCS,8475,0,0,0,0,18.8000,"159,330.00",419.56,20.00,23.00,PROTECH,,IP100204,
PRAC5M01,ACYCLOTECH 500 MG WATER Vial,PCS,1529,25,0,0,0,17.3900,"26,589.31",554.87,18.50,22.00,PROTECH,,IP100210,
ELAC4T01,ACYCLOVAX 400 TABS 5'S,PCS,0,0,0,9,1,12.1500,0.00,71.63,15.00,15.00,ELDER,,,
JAAC2M02,ACYCLOVIR 200 MG TAB 10X10 TAB,Pcs.,-20,0,0,0,0,140.0000,"-2,800.00",796.88,140.00,200.00,JACKSON,,IP100203,
NOAC5M01,ACYCLOVIR 500 MG (ZOVINEX) 500 MG,PCS,0,0,0,0,0,23.0000,0.00,554.06,23.00,28.00,NOVO,,,
MYAD8C01,ADD3 8 CAP,PCS,0,0,0,0,0,19.0000,0.00,168.59,19.00,22.00,MYLAN,,IP113010,
PRADDA01,ADRAPRO (ADRENALINE) AMP,PCS,690,0,0,0,0,2.3500,"1,621.50",13.93,2.50,2.80,PROTECH,,IP100240,
HIADI501,ADRENALINE INJ 50X1 ML,PCS,75,0,0,0,0,168.0000,"12,600.00",688.59,168.00,200.00,HINDUSTAN,,IP100240,
ASADI501,ADRENALINE INJ. 50X1 ML,PCS,66,0,0,0,0,130.0000,"8,580.00",909.38,130.00,160.00,ASTER,,,
JAADI101,ADRENALINE INJ.1ML 1ML,PCS,0,0,0,0,0,4.0000,0.00,0.00,4.00,5.50,JACKSON,,IP100240,
SAAD2I01,ADRENOR 2ML(NORADRENALINE) INJ 2 ML,AMP,39,0,0,0,0,9.0900,354.51,42.35,9.09,11.00,SAMARTH,,IP109577,
ABADPW01,ADVANCE PAYMENT WAITING 1,PCS,-1,0,0,0,0,1.0000,-1.00,0.00,1.00,1.00,ABBOTT,,,
ROAEMP01,AERO MIST(ADULT) PCS,PCS,520,0,0,0,0,39.9465,"20,772.18",629.00,40.35,46.00,ROMSONS,,SH-2074 S,
ROAEMP02,AERO MIST(CHILD) PCS,PCS,551,0,0,0,0,39.9465,"22,010.52",629.00,40.35,46.00,ROMSONS,,SH-2074 S,
ALAEIC01,AEROMORE INHALENT CAPSULE (10' (10'S,PCS,2496,0,0,0,0,17.2500,"43,056.00",72.15,18.75,18.75,ALKEM(MAX),,,
MIAE5501,AESROC 50MG/5ML (Rocuonium) 5 ML,PCS,583,0,0,0,0,100.0000,"58,300.00",862.00,100.00,120.00,MIRACALUS,,IP111388,
MIAF4201,AFICARD 4MG/2ML (Noradrenalin) 2 ML,PCS,3217,0,0,0,0,12.0000,"38,604.00",42.19,12.00,14.00,MIRACALUS,,IP109578,
MINO4M01,AFICARD 4MG/2ML (Noradrenalin) 2 ML,PCS,0,0,0,0,0,12.0000,0.00,42.19,12.00,14.00,MIRACALUS,,IP109578,
A00532,AGGRICEASE 5MG 100ML INJECTION VIAL,PCS,25,0,0,0,0,568.0000,"14,200.00","10,592.81",568.00,670.00,ARISTO,,,
AKAKC101,AKU-BIOTIC CAPSULE 10's,PCS,1050,0,0,0,0,16.0000,"16,800.00",124.78,16.00,19.20,AKUMENTIS,,,
AKAKLT01,AKUCET L5 TAB (alu/alu) 10'S,PCS,2040,0,0,0,0,3.0000,"6,120.00",52.01,3.00,3.90,AKUMENTIS,,IP107881,
AKAKLT02,AKUCET L5 TAB (B/L) 10's,PCS,4620,0,0,0,0,3.4000,"15,708.00",52.01,3.40,3.40,AKUMENTIS,,IP107881,
A00539,AKUCET TAB (BL) 10'S,PCS,4560,0,0,0,0,1.4100,"6,429.60",19.69,1.41,1.70,AKUMENTIS,,,
AKAKS301,AKUCET-L SYRUP 30ML 30ML,PCS,175,0,0,0,0,8.0000,"1,400.00",56.72,8.00,11.30,AKUMENTIS,,IP107914,
AKAK9T01,AKUCOXIB 90 TAB (BL) 10'S,PCS,0,0,0,0,0,2.5000,0.00,117.19,2.50,16.30,AKUMENTIS,,IP105965,
AKAKFS01,AKUMENIC FORTE SYRUP 60 ML 60 ML,PCS,300,0,0,0,0,10.3000,"3,090.00",84.84,10.30,12.50,AKUMENTIS,,IP103644,
AKAKPS01,AKUMENIC PLUS SYRUP 60 ML 60ML,PCS,706,0,0,0,0,9.5500,"6,742.30",62.39,9.55,10.60,AKUMENTIS,,IP103644,
AKAKST01,AKUMENIC SPAS TAB (BL) 10's,PCS,400,0,0,0,0,5.7000,"2,280.00",37.41,5.70,6.40,AKUMENTIS,,IP105022,
AKAKT101,AKUMENIC-DR TAB (BL) 10's,PCS,780,0,0,0,0,21.0000,"16,380.00",90.75,21.00,25.50,AKUMENTIS,,IP105589,
AKAKNI01,AKUMENTIS NS IV 100 ML 100 ML,PCS,140,0,0,0,0,8.3500,"1,169.00",20.65,8.35,9.40,AKUMENTIS(NET),,IP111788,
AKAKO201,AKUMENTIS ORS (APPLE) 200ML 200ml,PCS,0,0,0,0,0,12.7500,0.00,29.40,12.75,10.50,AKUMENTIS,,IP113146,
AKAKO202,AKUMENTIS ORS (ORANGE) 200ML 200ml,PCS,0,0,0,0,0,0.0000,0.00,29.00,11.50,11.50,AKUMENTIS,,IP113146,
AKAKO203,AKUMENTIS ORS 21.8GM 25PKT 1's,PCS,0,0,0,0,0,3.6500,0.00,25.40,3.65,3.80,AKUMENTIS,,IP113146,
AKAKO204,AKUMENTIS ORS 21.8GM 50PKT 1's,PCS,9050,0,0,0,0,3.2000,"28,960.00",22.66,3.20,3.85,AKUMENTIS,,IP113146,
AKAKO205,AKUMENTIS-EL ORS (ORANGE) 200 ML,PCS,0,0,0,0,0,8.8500,0.00,29.40,8.85,10.50,AKUMENTIS,,IP113146,
AKAKS201,AKUMENTIS-EL SACHETS 21.8gm 1X21.8 GM,PCS,2775,0,0,0,0,5.7500,"15,956.25",23.00,5.75,6.90,AKUMENTIS,,IP113146,
AKAKCA01,AKUSULIDE COLD AND FLU TAB (B 10's,PCS,300,0,0,0,0,4.9600,"1,488.00",58.99,4.96,6.00,AKUMENTIS,,IP109488,
AKAKPG01,AKUSULIDE PLUS GOLD TAB(BL) 10's,PCS,5300,0,0,0,0,3.4700,"18,391.00",61.88,3.47,4.20,AKUMENTIS,,IP109460,
AKAKPT01,AKUSULIDE PLUS TAB (AMBER) 10's,PCS,8860,0,0,0,0,3.5000,"31,010.00",61.88,3.50,4.20,AKUMENTIS,,IP109460,
AKAKPT02,AKUSULIDE PLUS TAB (AMBER)(BL 10's,PCS,0,0,0,0,0,4.2400,0.00,61.88,3.90,4.00,AKUMENTIS,,IP109460,
A00538,AKUSULIDE-MD (BL) 10'S,PCS,900,0,0,0,0,2.9000,"2,610.00",44.72,2.90,3.50,AKUMENTIS,,,
AKAK5T01,AKUTOM 500 TAB 10s (AL) 10's,PCS,0,0,0,0,0,119.5000,0.00,540.02,119.50,119.80,AKUMENTIS,,IP103151,
AKAKT102,AKUZOLID TABLET 10`S (AL) 10's,PCS,890,0,0,0,0,66.0000,"58,740.00",334.00,66.00,80.00,AKUMENTIS,,IP108171,
KAALM101,ALBEKAL-400 MG 10'TAB,PCS,686,0,0,0,0,11.4500,"7,854.70",92.81,11.45,15.00,KALPRAJ,,,
JAAL2M01,ALBENDAZOL 200 MG SYP IP 10 ML,PCS,0,0,0,0,0,5.0000,0.00,0.00,5.00,6.00,JACKSON,,IP100264,
MAALS101,ALBROXYL-LS SYRUP 100 ML,PCS,0,0,0,0,0,14.7440,0.00,89.06,15.52,17.90,MARTIN,,IP107989,
ELALT401,ALCHONOL TABS 4'S,PCS,19850,0,0,0,0,5.4000,"107,190.00",67.76,6.00,6.50,ELDER,,,
ROALSP01,ALCO SWAB PCS,PCS,5100,0,0,0,0,0.6362,"3,244.62",2.81,0.64,0.74,ROMSONS,,,
ALAL1101,ALCOXIB 120 (10'S) 10's,PCS,320,0,0,0,0,22.0800,"7,065.60",173.40,24.00,24.00,ALKEM(HC),,IP105955,
ALAL9101,ALCOXIB 90 (10'S) 10's,PCS,60,0,0,0,0,17.8020,"1,068.12",149.05,19.35,19.35,ALKEM(HC),,IP105965,
ALALPT01,ALCOXIB P TABLETS (10'S) 10s,PCS,1160,0,0,0,0,16.7900,"19,476.40",106.85,18.25,18.25,ALKEM(HC),,IP105958,
ALALL101,ALCOXIB-MR (10'S) 10'S,PCS,520,0,0,0,0,42.3200,"22,006.40",235.30,46.00,54.00,ALKEM(HC),,IP105962,
ALAL1T01,ALDIGESIC 100 TABLETS (10'S) 10s,PCS,1820,0,0,0,0,5.0600,"9,209.20",67.50,5.50,5.50,ALKEM(HC),,IP100046,
ALALPP01,ALDIGESIC P (BOX PACKING) TABL 15's,PCS,88311,0,0,0,0,12.6000,"1,112,718.60",119.05,12.60,12.60,ALKEM(HC),,IP100063,
ALALTT01,ALDIGESIC TC TABLETS (10'S) 10'S,PCS,50,0,0,0,0,24.3800,"1,219.00",118.10,26.50,26.50,ALKEM(HC),,IP100085,
ALALTP01,ALDIGESIC TH PLUS TABLETS (10' 10'S,PCS,229,0,0,0,0,55.2000,"12,640.80",195.90,60.00,60.00,ALKEM(HC),,IP112442,
MIAT2214,ALDINE 10% MICROBICIDAL SOLN 500ML,PCS,247,0,0,15,10,147.2012,"36,358.70",514.50,350.88,160.00,ALKEM(MAX),,,
MIAT2225,ALDINE 10% MICROBICIDAL SOLUTI 100ML,PCS,975,0,0,38,12,32.2015,"31,396.46",102.90,69.78,35.00,ALKEM(MAX),,,
MIAT2226,ALDINE 5% MICROBICIDAL SOLUTIO 100ML,PCS,1779,0,0,168,32,20.2406,"36,008.03",46.70,31.18,22.00,ALKEM(MAX),,,
MIAT2227,ALDINE 5% MICROBICIDAL SOLUTIO 2LTR,PCS,0,0,0,0,0,299.0000,0.00,682.84,325.00,325.00,ALKEM(MAX),,,
MIAT2228,ALDINE 5% MICROBICIDAL SOLUTIO 500ML,PCS,9,0,0,0,0,87.4000,786.60,233.57,95.00,95.00,ALKEM(MAX),,,
MIAT2229,ALDINE 7.5% SURGICAL SCRUB 500 500ML,PCS,0,0,0,0,0,147.2000,0.00,455.58,160.00,160.00,ALKEM(MAX),,,
MIAT2213,ALDINE DUSTING POWDER (10G) 10G,PCS,3080,0,0,0,0,8.7400,"26,919.20",65.60,9.50,9.50,ALKEM(MAX),,,
MIAT2215,ALDINE OINTMENT 10 GM 10GM,PCS,140,0,0,0,0,9.6600,"1,352.40",27.15,10.50,10.50,ALKEM(MAX),,,
MIAT2216,ALDINE OINTMENT 20 GM 20GM,PCS,0,0,0,0,0,12.8800,0.00,56.25,14.00,14.00,ALKEM(MAX),,,
MIAT2211,ALDINE OINTMENT 250 GM 250GM,PCS,94,0,0,0,0,92.0000,"8,648.00",468.75,100.00,105.00,ALKEM(MAX),,,
MIAT2217,ALDINE-OZ OINTMENT 15GM 15GM,PCS,560,0,0,0,0,11.0400,"6,182.40",87.15,12.00,12.00,ALKEM(MAX),,,
EMCU0064,ALFUMEG 10 TAB(ALFUZOSIN) 10X10,PCS,0,0,0,0,0,170.0000,0.00,"2,362.50",170.00,205.00,MEGMA,,ALFUMEGMA,
MAALM101,ALKA MB 100ML SYP 100 ML,PCS,1590,0,0,0,0,10.6780,"16,978.02",107.81,11.24,14.00,MARTIN,,,
AKAL1M01,ALKARUM 100 ML SYRUP 100ML,PCS,745,0,0,0,0,11.0000,"8,195.00",112.30,11.00,13.30,AKUMENTIS,,IP105275,
ALALSP01,ALKASULF SPRINKLING POWDER (10 10gm,PCS,1190,0,0,0,0,17.0200,"20,253.80",78.75,18.50,18.50,ALKEM(HC),,IP112065,
ELALS101,ALKATRAL SYP 100 ML,PCS,7066,0,0,0,0,9.0000,"63,594.00",157.08,9.00,13.25,ELDER,,IP105257,
EMCU0077,ALKEM COLD + SUSPENSION 60ML,PCS,0,0,0,0,0,12.4200,0.00,63.00,13.50,13.50,ALKEM(HC),,,
ALALCA01,ALKEM COLD ACTIVE TABLETS (10' 10'S,PCS,5959,0,0,28,32,11.3604,"67,696.62",46.40,31.13,12.35,ALKEM(HC),,,
ALALCD01,ALKEM COLD DS DROPS (15ML) 15 ML,PCS,2895,0,0,0,0,10.8100,"31,294.95",58.10,11.75,11.75,ALKEM(HC),,IP103610,
ALALCS01,ALKEM COLD SUSPENSION (60ML) 60 ml,PCS,48,0,0,0,0,15.8700,761.76,59.06,17.25,17.25,ALKEM(HC),,IP103239,
ALALD201,ALKEM DEXA (20ML) 20 ml Vial,PCS,5387,0,0,0,0,20.0100,"107,793.87",28.77,21.75,21.75,ALKEM(HC),,IP104630,
ALALDI01,ALKEM DEXA INJECTION (2ML) VIA 2ml Vial,PCS,128535,0,0,0,0,4.8300,"620,824.05",10.88,5.25,5.25,ALKEM(HC),,IP104630,
ALALG201,ALKEM GENTA (20ML) 20 ml Vial,PCS,4050,0,0,0,0,20.4657,"82,886.09",33.18,22.47,22.25,ALKEM(HC),,IP106551,
ALALMI01,ALKEM METRO IV INFUSION (100ML 100ml,PCS,100870,0,0,0,0,10.4420,"1,053,284.54",22.05,11.35,11.35,ALKEM(HC),,IP108939,
ALALOB01,ALKEM ORDER BOOK 1,PCS,20,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,ALKEM(HC),,,
ALALON01,ALKEM'S ORS NOVO APPLE FLAVOUR 200 ML,PCS,16729,0,0,0,0,10.3500,"173,145.15",31.50,11.50,12.50,ALKEM(HC),,IP113146,
ALALON02,ALKEM'S ORS NOVO LEMON FLAVOUR 200ML,PCS,13480,0,0,0,0,11.2500,"151,650.00",31.50,12.50,12.50,ALKEM(HC),,,
ALALON03,ALKEM'S ORS NOVO ORANGE FLAVOU 200 ML,PCS,21948,0,0,0,0,10.3500,"227,161.80",31.50,11.50,12.50,ALKEM(HC),,IP113146,
ALALC501,ALKEMCEFU # CV 500 TABLETS 6'S,PCS,0,0,0,0,0,82.8000,0.00,534.38,90.00,90.00,ALKEM(HC),,IP103153,
ALAL2M01,ALKEMCEFU 250 MG 10'S,PCS,1780,0,0,123,357,55.1995,"98,255.11",435.90,292.68,60.00,ALKEM(HC),,IP102994,
ALAL5M01,ALKEMCEFU 500 MG 10'S,PCS,2570,0,0,69,75,105.7969,"271,898.03",549.39,369.22,115.00,ALKEM(HC),,IP102848,
ALAL5T01,ALKEMCEFU-CV 500 TAB 10'S,PCS,679,0,0,0,0,138.0000,"93,702.00",570.00,150.00,150.00,ALKEM(HC),,,
ALALV101,ALKEMCORT (1ML) VIAL 1ml Amp,PCS,4251,0,0,0,0,15.2700,"64,912.77",95.60,15.27,16.60,ALKEM(HC),,IP112739,
ALAL7M01,ALKEMCORT-H  (7.5ML) 7.5 ml vial,PCS,7260,0,0,0,0,16.1920,"117,553.92",47.03,17.60,17.60,ALKEM(HC),,IP107038,
ZZZZZ11595,ALKEMDERM 5 CREAM ( 15 G ) 15gm,PCS,0,0,0,0,0,10.1200,0.00,82.50,11.00,11.00,ALKEM(MAX),,,
ALALS101,ALKEMFLAM SUSPENSION (100ML) 100 ML,PCS,925,0,0,0,0,20.0100,"18,509.25",75.00,21.75,21.75,ALKEM(HC),,IP107174,
ALALT201,ALKEMFLAM TABLETS (20'S) 20'S,PCS,1355,0,0,0,0,14.9040,"20,194.92",37.00,16.20,16.20,ALKEM(HC),,IP107199,
ALALT101,ALKEMNIM TABLETS (15'S) 15s,PCS,2043,0,0,0,0,5.5200,"11,277.36",64.65,6.00,6.00,ALKEM(HC),,IP109448,
ALALC101,ALKEMSERT CREAM (10G) 10gm,PCS,1125,0,0,0,0,20.4700,"23,028.75",101.25,22.25,22.25,ALKEM(HC),,IP111640,
ALALIV01,ALKEMVAN-1000 INJECTION (VIAL) VIAL,PCS,-232,0,0,0,0,89.2400,"-20,703.68",493.75,97.00,97.00,ALKEM(HC),,IP112922,
ALALIV02,ALKEMVAN-500 INJECTION (VIAL) VIAL,PCS,1523,0,0,0,0,51.2900,"78,114.67",297.44,55.75,55.75,ALKEM(HC),,IP112925,
ALALCP01,ALKEMVIT-12 COMBI PACK INJECTI VIAL,PCS,102801,0,0,0,0,6.4400,"662,038.44",30.90,7.00,6.00,ALKEM(HC),,,
ALALD101,ALKOF DROPS 15ML 15 ML,PCS,3950,0,0,0,0,12.1900,"48,150.50",74.05,13.25,13.25,ALKEM(HC),,IP100707,
MIAT2230,ALKOF DX PLUS COUGH SYRUP (100 100ML,PCS,0,0,0,0,0,18.4000,0.00,96.55,20.00,20.00,ALKEM(MAX),,,
ALALMC01,ALKOF MINT COUGH SYRUP 100 ML,PCS,2687,0,0,0,0,15.9160,"42,766.29",135.90,17.30,17.30,ALKEM(MAX),,,
ALALTC01,ALKOF TOTAL COUGH SYRUP 100 ML,PCS,1304,0,0,0,0,17.6640,"23,033.86",128.40,19.20,19.20,ALKEM(MAX),,,
ALALS102,ALKOFDRYL + SYRUP 100 ML,PCS,620,0,0,0,0,9.5680,"5,932.16",123.75,10.40,14.40,ALKEM(MAX),,IP105211,
HAALB101,ALL BOOKLET 1,PCS,-10,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,HAB,,,
AKALS201,ALLZ SYRUP 200ML,PCS,0,0,0,0,0,15.0000,0.00,176.00,15.00,19.30,AKUMENTIS,,IP113163,
AKALT101,ALLZ TAB (ST) 15's,PCS,0,0,0,0,0,14.9000,0.00,141.00,14.90,15.50,AKUMENTIS,,IP113163,
ALAL5T02,ALMETFOR 500 TABLETS (15'S) 15'S,PCS,15240,0,0,0,0,5.9800,"91,135.20",24.92,6.50,6.50,ALKEM(MAX),,IP108647,
ALAL1T02,ALMETFOR-SR 1000 TABLETS (15'S 15'S,PCS,2150,0,0,0,0,15.6400,"33,626.00",64.85,17.00,17.00,ALKEM(MAX),,IP108635,
